Dates,XLC US Equity,XLY US Equity,XLP US Equity,XLE US Equity,XLF US Equity,XLV US Equity,XLI US Equity,XLB US Equity,XLRE US Equity,XLK US Equity,XLU US Equity
8/26/2016,#N/A N/A,9968.004,8935.189,15022.44,15791.93,12781.04,7650.789,2703.248,114.195,12906.1,7771.794
9/2/2016,#N/A N/A,9932.307,9035.542,14757.15,16197.65,12696.68,7635.914,2751.794,120.924,13286.69,7731.063
9/9/2016,#N/A N/A,9662.812,8784.582,14798.98,15895.13,12468.84,7469.925,2648.291,3015,13035.86,7313.777
9/16/2016,#N/A N/A,9068.141,8883.079,13869.34,13773.88,12530.19,7035.264,2607.992,2798.507,12860.29,7584.759
9/23/2016,#N/A N/A,9349.514,9063.64,14503.64,12053.29,12853.83,7254.019,2849.198,3278.688,12729.98,8059.931
9/30/2016,#N/A N/A,9533.004,8892.562,14918.06,11969.76,12450.87,7334.046,2894.796,3203.268,13003.61,7410.913
10/7/2016,#N/A N/A,9421.521,8944.349,15302.88,12515.5,12732.85,7150.449,2812.725,2913.104,13162.45,7304.731
10/14/2016,#N/A N/A,9238.256,8786.22,15207.61,12439.38,12160.18,7138.069,2833.58,2892.211,13005.72,7323.608
10/21/2016,#N/A N/A,9284.412,8201.259,15180.27,12818.58,11942.37,7338.944,2883.554,2772.9,13149.46,7155.552
10/28/2016,#N/A N/A,9228.464,8159.742,15214.51,13113.34,11462.61,7441.615,2734.826,2656.11,13117.44,7100.553
11/4/2016,#N/A N/A,9165.629,7838.114,14856.81,12656.71,11196.23,6890.808,2736.394,2556.876,12431.93,7109.738
11/11/2016,#N/A N/A,9817.757,7205.589,15314.12,18568.91,13425.88,9378.867,3270.541,2494.229,12472.52,6371.657
11/18/2016,#N/A N/A,10353.24,7760.436,16055.75,20463.54,13766.8,9702.318,3460.872,2497.125,12740.12,6662.242
11/25/2016,#N/A N/A,10833.29,7671.322,16309.21,20680.96,13660.81,9884.727,3591.812,2516.022,13037.09,6631.828
12/2/2016,#N/A N/A,10795.12,7402.032,16999.43,21628.37,13635.14,10183.13,3727.208,2469.924,12590.24,6691.183
12/9/2016,#N/A N/A,11403.18,7794.135,17401.53,23048.07,13492.19,10513.58,3946.136,2528.7,13481.21,6715.551
12/16/2016,#N/A N/A,11229.55,7889.323,17832.49,22207.07,13447.38,10114.55,3800.357,2343.88,13989.35,6776.141
12/23/2016,#N/A N/A,10945.48,8086.063,18154.04,22576.55,13594.36,10385.54,3763.916,2326.311,14382.78,6830.872
12/30/2016,#N/A N/A,10781.67,8308.349,17709.54,22432.65,13509.83,10183.92,3649.173,2310.863,14109.32,6898.105
1/6/2017,#N/A N/A,11548.4,8494.101,17805.62,23491.63,14286.85,10817.52,3734.44,2376.98,14706.68,6913.059
1/13/2017,#N/A N/A,11666.49,7855.357,17648.44,23191.32,14404.92,10597.32,3666.404,2326.302,14617.72,6724.65
1/20/2017,#N/A N/A,11729.47,8595.357,17850.39,22138.23,13979.52,10650.05,3674.597,2357.67,15112.11,6642.959
1/27/2017,#N/A N/A,11925.67,8185.527,17716.77,22802.03,13459.31,10729.59,3954.096,2280.404,16160.99,6212.018
2/3/2017,#N/A N/A,11719.02,7445.016,17724.19,22935.94,14638.6,10540.31,3954.122,2260.983,15714.2,6497.539
2/10/2017,#N/A N/A,12109.62,7936.939,17717.2,23509.98,15368.34,10966.95,3874.885,2289.696,16094.26,6761.307
2/17/2017,#N/A N/A,12220.93,8216.489,17281.72,24973.96,15801.17,11371.03,3853.15,2311.04,16518.45,6204.875
2/24/2017,#N/A N/A,12325.52,8738.22,17149.34,25002.29,15989.09,10932.86,3726.41,2381.94,16644.55,6865.288
3/3/2017,#N/A N/A,12276,8848.42,17495.3,25528,16309.5,11189.9,3792.77,2284.36,16680.3,6670.51
3/10/2017,#N/A N/A,12341.7,9004.63,16814.6,25341.5,16587.6,11322.9,3734.92,2213.38,16913.2,6623.48
3/17/2017,#N/A N/A,12265.6,8707.28,16764.2,24968.2,16168.1,10822.5,3746.17,2306.07,17098.5,7204.18
3/24/2017,#N/A N/A,12123,8649.26,16504.1,23506.9,16181.5,10423.3,3586.43,2313.63,16586.8,7491.58
3/31/2017,#N/A N/A,12168.2,8892.27,17308.9,23746.5,15832.4,10743.1,3607.05,2335.24,17030.2,7043.54
4/7/2017,#N/A N/A,12112,8695.76,17176.6,22956.6,15932.3,10692.8,3648.36,2346.72,16886.7,7068.74
4/14/2017,#N/A N/A,12000.4,8959.31,16902.9,21962.1,15884.6,10523.4,3595.48,2374.78,16745.6,7267.46
4/21/2017,#N/A N/A,12134.7,9098.2,16478,22422.2,15683.9,10781.3,3631.75,2340.69,16895.1,7403.81
4/28/2017,#N/A N/A,12397.1,8863.11,16493.5,22785.2,16063.8,11233.1,3838.22,2281.96,17236.1,7394.35
5/5/2017,#N/A N/A,12601.6,9046.24,16092.1,23285.6,16160,11338,3830.44,2284.41,17500,7155.51
