Symbol,gics_sector_name,gics_sub_industry_name,gics_industry_name,gics_industry_group_name,gics_industry,gics_sector
DOC UN Equity,Real Estate,Health Care REITs,Health Care REITs,Equity Real Estate Investment Trusts (REITs),601050,60
PODD UW Equity,Health Care,Health Care Equipment,Health Care Equipment & Supplies,Health Care Equipment & Services,351010,35
FTV UN Equity,Industrials,Industrial Machinery & Supplies & Components,Machinery,Capital Goods,201060,20
HSY UN Equity,Consumer Staples,Packaged Foods & Meats,Food Products,"Food, Beverage & Tobacco",302020,30
SYF UN Equity,Financials,Consumer Finance,Consumer Finance,Financial Services,402020,40
HRL UN Equity,Consumer Staples,Packaged Foods & Meats,Food Products,"Food, Beverage & Tobacco",302020,30
AJG UN Equity,Financials,Insurance Brokers,Insurance,Insurance,403010,40
MDLZ UW Equity,Consumer Staples,Packaged Foods & Meats,Food Products,"Food, Beverage & Tobacco",302020,30
CNP UN Equity,Utilities,Multi-Utilities,Multi-Utilities,Utilities,551030,55
HUM UN Equity,Health Care,Managed Health Care,Health Care Providers & Services,Health Care Equipment & Services,351020,35
WTW UW Equity,Financials,Insurance Brokers,Insurance,Insurance,403010,40
ITW UN Equity,Industrials,Industrial Machinery & Supplies & Components,Machinery,Capital Goods,201060,20
CDW UW Equity,Information Technology,Technology Distributors,"Electronic Equipment, Instruments & Components",Technology Hardware & Equipment,452030,45
TT UN Equity,Industrials,Building Products,Building Products,Capital Goods,201020,20
IPG UN Equity,Communication Services,Advertising,Media,Media & Entertainment,502010,50
IFF UN Equity,Materials,Specialty Chemicals,Chemicals,Materials,151010,15
GNRC UN Equity,Industrials,Electrical Components & Equipment,Electrical Equipment,Capital Goods,201040,20
NXPI UW Equity,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,453010,45
K UN Equity,Consumer Staples,Packaged Foods & Meats,Food Products,"Food, Beverage & Tobacco",302020,30
BR UN Equity,Industrials,Data Processing & Outsourced Services,Professional Services,Commercial & Professional Services,202020,20
KMB UN Equity,Consumer Staples,Household Products,Household Products,Household & Personal Products,303010,30
KIM UN Equity,Real Estate,Retail REITs,Retail REITs,Equity Real Estate Investment Trusts (REITs),601070,60
ORCL UN Equity,Information Technology,Systems Software,Software,Software & Services,451030,45
KR UN Equity,Consumer Staples,Food Retail,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,301010,30
LEN UN Equity,Consumer Discretionary,Homebuilding,Household Durables,Consumer Durables & Apparel,252010,25
LLY UN Equity,Health Care,Pharmaceuticals,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",352020,35
CHTR UW Equity,Communication Services,Cable & Satellite,Media,Media & Entertainment,502010,50
L UN Equity,Financials,Property & Casualty Insurance,Insurance,Insurance,403010,40
LOW UN Equity,Consumer Discretionary,Home Improvement Retail,Specialty Retail,Consumer Discretionary Distribution & Retail,255040,25
HUBB UN Equity,Industrials,Electrical Components & Equipment,Electrical Equipment,Capital Goods,201040,20
IEX UN Equity,Industrials,Industrial Machinery & Supplies & Components,Machinery,Capital Goods,201060,20
MMC UN Equity,Financials,Insurance Brokers,Insurance,Insurance,403010,40
MAS UN Equity,Industrials,Building Products,Building Products,Capital Goods,201020,20
SPGI UN Equity,Financials,Financial Exchanges & Data,Capital Markets,Financial Services,402030,40
MDT UN Equity,Health Care,Health Care Equipment,Health Care Equipment & Supplies,Health Care Equipment & Services,351010,35
VTRS UW Equity,Health Care,Pharmaceuticals,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",352020,35
CVS UN Equity,Health Care,Health Care Services,Health Care Providers & Services,Health Care Equipment & Services,351020,35
DD UN Equity,Materials,Specialty Chemicals,Chemicals,Materials,151010,15
MU UW Equity,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,453010,45
MSI UN Equity,Information Technology,Communications Equipment,Communications Equipment,Technology Hardware & Equipment,452010,45
CBOE UF Equity,Financials,Financial Exchanges & Data,Capital Markets,Financial Services,402030,40
NEM UN Equity,Materials,Gold,Metals & Mining,Materials,151040,15
NKE UN Equity,Consumer Discretionary,Footwear,"Textiles, Apparel & Luxury Goods",Consumer Durables & Apparel,252030,25
NI UN Equity,Utilities,Multi-Utilities,Multi-Utilities,Utilities,551030,55
NSC UN Equity,Industrials,Rail Transportation,Ground Transportation,Transportation,203040,20
PFG UW Equity,Financials,Life & Health Insurance,Insurance,Insurance,403010,40
ES UN Equity,Utilities,Electric Utilities,Electric Utilities,Utilities,551010,55
NOC UN Equity,Industrials,Aerospace & Defense,Aerospace & Defense,Capital Goods,201010,20
WFC UN Equity,Financials,Diversified Banks,Banks,Banks,401010,40
NUE UN Equity,Materials,Steel,Metals & Mining,Materials,151040,15
OXY UN Equity,Energy,Integrated Oil & Gas,"Oil, Gas & Consumable Fuels",Energy,101020,10
OMC UN Equity,Communication Services,Advertising,Media,Media & Entertainment,502010,50
OKE UN Equity,Energy,Oil & Gas Storage & Transportation,"Oil, Gas & Consumable Fuels",Energy,101020,10
RJF UN Equity,Financials,Investment Banking & Brokerage,Capital Markets,Financial Services,402030,40
PCG UN Equity,Utilities,Electric Utilities,Electric Utilities,Utilities,551010,55
PH UN Equity,Industrials,Industrial Machinery & Supplies & Components,Machinery,Capital Goods,201060,20
ROL UN Equity,Industrials,Environmental & Facilities Services,Commercial Services & Supplies,Commercial & Professional Services,202010,20
PPL UN Equity,Utilities,Electric Utilities,Electric Utilities,Utilities,551010,55
APTV UN Equity,Consumer Discretionary,Automotive Parts & Equipment,Automobile Components,Automobiles & Components,251010,25
COP UN Equity,Energy,Oil & Gas Exploration & Production,"Oil, Gas & Consumable Fuels",Energy,101020,10
PHM UN Equity,Consumer Discretionary,Homebuilding,Household Durables,Consumer Durables & Apparel,252010,25
PNW UN Equity,Utilities,Electric Utilities,Electric Utilities,Utilities,551010,55
PNC UN Equity,Financials,Diversified Banks,Banks,Banks,401010,40
PPG UN Equity,Materials,Specialty Chemicals,Chemicals,Materials,151010,15
PGR UN Equity,Financials,Property & Casualty Insurance,Insurance,Insurance,403010,40
VLTO UN Equity,Industrials,Environmental & Facilities Services,Commercial Services & Supplies,Commercial & Professional Services,202010,20
PEG UN Equity,Utilities,Multi-Utilities,Multi-Utilities,Utilities,551030,55
COO UW Equity,Health Care,Health Care Supplies,Health Care Equipment & Supplies,Health Care Equipment & Services,351010,35
EIX UN Equity,Utilities,Electric Utilities,Electric Utilities,Utilities,551010,55
SLB UN Equity,Energy,Oil & Gas Equipment & Services,Energy Equipment & Services,Energy,101010,10
SCHW UN Equity,Financials,Investment Banking & Brokerage,Capital Markets,Financial Services,402030,40
SHW UN Equity,Materials,Specialty Chemicals,Chemicals,Materials,151010,15
WST UN Equity,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences",352030,35
SJM UN Equity,Consumer Staples,Packaged Foods & Meats,Food Products,"Food, Beverage & Tobacco",302020,30
SNA UN Equity,Industrials,Industrial Machinery & Supplies & Components,Machinery,Capital Goods,201060,20
AME UN Equity,Industrials,Electrical Components & Equipment,Electrical Equipment,Capital Goods,201040,20
UBER UN Equity,Industrials,Passenger Ground Transportation,Ground Transportation,Transportation,203040,20
SO UN Equity,Utilities,Electric Utilities,Electric Utilities,Utilities,551010,55
TFC UN Equity,Financials,Regional Banks,Banks,Banks,401010,40
LUV UN Equity,Industrials,Passenger Airlines,Passenger Airlines,Transportation,203020,20
WRB UN Equity,Financials,Property & Casualty Insurance,Insurance,Insurance,403010,40
SWK UN Equity,Industrials,Industrial Machinery & Supplies & Components,Machinery,Capital Goods,201060,20
PSA UN Equity,Real Estate,Self-Storage REITs,Specialized REITs,Equity Real Estate Investment Trusts (REITs),601080,60
ANET UN Equity,Information Technology,Communications Equipment,Communications Equipment,Technology Hardware & Equipment,452010,45
SYY UN Equity,Consumer Staples,Food Distributors,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,301010,30
